run_id	status	started_at	finished_at
2026-04-25_SP8192_Base_Valid	ok	2026-04-25T23:17:12-07:00	2026-04-25T23:49:39-07:00
2026-04-25_CaseOps_Base_Valid	ok	2026-04-25T23:49:39-07:00	2026-04-26T00:22:18-07:00
2026-04-25_SP8192_SkipGates_Valid	ok	2026-04-26T00:22:18-07:00	2026-04-26T00:54:48-07:00
2026-04-25_CaseOps_SkipGates_Valid	ok	2026-04-26T00:54:48-07:00	2026-04-26T01:27:26-07:00
2026-04-25_SP8192_SkipGates_ParResid_Valid	ok	2026-04-26T01:27:26-07:00	2026-04-26T01:59:51-07:00
2026-04-25_CaseOps_SkipGates_ParResid_Valid	ok	2026-04-26T01:59:51-07:00	2026-04-26T02:32:26-07:00
2026-04-25_SP8192_SkipGates_ParResid_QKGain45_HessClip015_Valid	ok	2026-04-26T02:32:26-07:00	2026-04-26T03:04:50-07:00
2026-04-25_CaseOps_SkipGates_ParResid_QKGain45_HessClip015_Valid	ok	2026-04-26T03:04:50-07:00	2026-04-26T03:37:22-07:00
2026-04-25_SP8192_SkipGates_ParResid_QAT10_QKGain40_Valid	ok	2026-04-26T03:37:22-07:00	2026-04-26T04:09:46-07:00
2026-04-25_CaseOps_SkipGates_ParResid_QAT10_QKGain40_Valid	ok	2026-04-26T04:09:46-07:00	2026-04-26T04:42:19-07:00
2026-04-25_SP8192_SkipGates_ParResid_QAT20_QKGain40_MLPOnly_Valid	ok	2026-04-26T04:42:19-07:00	2026-04-26T05:14:41-07:00
2026-04-25_CaseOps_SkipGates_ParResid_QAT20_QKGain40_MLPOnly_Valid	ok	2026-04-26T05:14:41-07:00	2026-04-26T05:47:12-07:00
